clinical feature_0	clinical feature_0	Similarity( clinical feature - clinical feature )	clinical feature_1	description_1	Similarity( clinical feature - description )
ADJUVANT_CHEMO	COUNTRY	-0.07	ADJUVANT_CHEMO	Country of procurement.	-0.06
ADJUVANT_CHEMO	ER_STATUS	0.01	ADJUVANT_CHEMO	ER Status	0.01
ADJUVANT_CHEMO	GRADE	0.08	ADJUVANT_CHEMO	Numeric value to express the degree of abnormality of cancer cells, a measure of differentiation and aggressiveness.	0.07
ADJUVANT_CHEMO	HER2_AMPLIFICATION_STATUS	0.02	ADJUVANT_CHEMO	HER2 Amplification Status	0.04
ADJUVANT_CHEMO	HER2_STATUS	0.01	ADJUVANT_CHEMO	HER2 Status	0.01
ADJUVANT_CHEMO	MENOPAUSE_STATUS	0.05	ADJUVANT_CHEMO	Text term to signify the status of a woman's menopause, the permanent cessation of menses, usually defined by 6 to 12 months of amenorrhea.	0.01
ADJUVANT_CHEMO	NONSILENT_RATE	-0.05	ADJUVANT_CHEMO	Nonsilent Mutation Rate	0.05
ADJUVANT_CHEMO	PLOIDY	-0.03	ADJUVANT_CHEMO	Ploidy.	-0.03
ADJUVANT_CHEMO	PR_STATUS	0.02	ADJUVANT_CHEMO	PR Status	0.05
ADJUVANT_CHEMO	PURITY	-0.02	ADJUVANT_CHEMO	Purity	-0.02
ADJUVANT_CHEMO	SILENT_RATE	0.08	ADJUVANT_CHEMO	Silent Mutation Rate	0.07
ADJUVANT_CHEMO	STAGE	0.1	ADJUVANT_CHEMO	Stage	0.1
ADJUVANT_CHEMO	SUBTYPE	0.12	ADJUVANT_CHEMO	Subtype	0.12
ADJUVANT_CHEMO	STUDY_ID	0.02	ADJUVANT_CHEMO	Study ID	0.01
ADJUVANT_CHEMO	BEST_RESPONSE_TO_THERAPY	0.21	ADJUVANT_CHEMO	Best Response to Therapy	0.2
ADJUVANT_CHEMO	BLOCK_ACCESSION	0.02	ADJUVANT_CHEMO	block accession	0.07
ADJUVANT_CHEMO	COMMENTS	0.17	ADJUVANT_CHEMO	Comments.	0.15
ADJUVANT_CHEMO	FRACTION_GENOME_ALTERED	0.09	ADJUVANT_CHEMO	Fraction Genome Altered	0.11
ADJUVANT_CHEMO	GENE_PANEL	-0.05	ADJUVANT_CHEMO	Gene panel.	0.04
ADJUVANT_CHEMO	MONTHS_ON_STUDY	0.08	ADJUVANT_CHEMO	months on study	0.09
ADJUVANT_CHEMO	MONTHS_ON_TREATMENT	0.17	ADJUVANT_CHEMO	Months on Treatment	0.14
ADJUVANT_CHEMO	OTHER_PATIENT_ID	0.11	ADJUVANT_CHEMO	Legacy DMP patient identifier (DMPnnnn)	0.07
ADJUVANT_CHEMO	PATIENT_STUDY_ID	0.05	ADJUVANT_CHEMO	patient study id	0.02
ADJUVANT_CHEMO	PIK3CA_MUTATION	-0.02	ADJUVANT_CHEMO	PIK3CA mutation is present.	-0.03
ADJUVANT_CHEMO	REASON_FOR_TX_DISCONTINUATION	0.08	ADJUVANT_CHEMO	reason for tx discontinuation	0.12
ADJUVANT_CHEMO	SAMPLE_CLASS	0.08	ADJUVANT_CHEMO	The sample classification (i.e., tumor, cellline, xenograph).	0.16
ADJUVANT_CHEMO	SAMPLE_ORIGIN	0.0	ADJUVANT_CHEMO	Sample origin	0.03
ADJUVANT_CHEMO	SNAPSHOT_MUTATIONS	0.09	ADJUVANT_CHEMO	snapshot mutations	0.13
ADJUVANT_CHEMO	STATUS	0.12	ADJUVANT_CHEMO	Status.	0.12
ADJUVANT_CHEMO	STUDY_ARM	0.06	ADJUVANT_CHEMO	study arm	0.1
ADJUVANT_CHEMO	THERAPY	0.19	ADJUVANT_CHEMO	therapy	0.19
ADJUVANT_CHEMO	TREATMENT_BEST_RESPONSE	0.18	ADJUVANT_CHEMO	Treatment best response	0.17
ADJUVANT_CHEMO	ER	0.04	ADJUVANT_CHEMO	ER	0.04
ADJUVANT_CHEMO	HER2	-0.04	ADJUVANT_CHEMO	HER2	-0.04
ADJUVANT_CHEMO	DX_PSTAGE	0.13	ADJUVANT_CHEMO	Diagnosis P Stage	0.07
ADJUVANT_CHEMO	HISTOLOGY	0.06	ADJUVANT_CHEMO	Histology	0.06
ADJUVANT_CHEMO	MSI_COMMENT	0.09	ADJUVANT_CHEMO	MSI Comment	0.1
ADJUVANT_CHEMO	MSI_SCORE	0.0	ADJUVANT_CHEMO	MSI Score	-0.03
ADJUVANT_CHEMO	MSI_TYPE	0.08	ADJUVANT_CHEMO	MSI Type	0.09
ADJUVANT_CHEMO	OS_MONTHS	-0.01	ADJUVANT_CHEMO	Overall survival in months since date of sequencing. If patient died before sequencing overall survival in months is set to '0'. If patient is alive and last contact date is before date of sequencing, overall survival in months is set to 'NA'	0.08
ADJUVANT_CHEMO	OS_STATUS	0.06	ADJUVANT_CHEMO	Overall patient survival status.	0.1
ADJUVANT_CHEMO	PFS_MONTHS	-0.01	ADJUVANT_CHEMO	Progress Free Survival (Months)	0.09
ADJUVANT_CHEMO	PFS_STATUS	0.03	ADJUVANT_CHEMO	Progression Free Status	0.12
ADJUVANT_CHEMO	RACE	0.0	ADJUVANT_CHEMO	The text for reporting information about race.	0.02
ADJUVANT_CHEMO	REASON_STOP	0.08	ADJUVANT_CHEMO	Reason Stop	0.09
ADJUVANT_CHEMO	RELIGION	0.05	ADJUVANT_CHEMO	Religion	0.05
ADJUVANT_CHEMO	SAMPLE_COVERAGE	0.11	ADJUVANT_CHEMO	Sample coverage	0.1
ADJUVANT_CHEMO	SAMPLE_STATUS	0.01	ADJUVANT_CHEMO	Sample Status	0.04
ADJUVANT_CHEMO	SO_COMMENTS	0.16	ADJUVANT_CHEMO	Sign-out comments	0.13
ADJUVANT_CHEMO	TMB	0.08	ADJUVANT_CHEMO	Total number of mutations divided by the length of the total genomic target region captured (mutations/Mbs)	0.02
ADJUVANT_CHEMO	TUMOR_PURITY	0.11	ADJUVANT_CHEMO	Tumor Purity	0.14
ADJUVANT_CHEMO	TX_LINE	0.02	ADJUVANT_CHEMO	Treatment Line	0.12
ADJUVANT_CHEMO	TX_LOCATION	-0.04	ADJUVANT_CHEMO	Treatment Location	0.09
ADJUVANT_CHEMO	TX_REG	0.1	ADJUVANT_CHEMO	Treatment Regimen	0.13
ADJUVANT_CHEMO	APOBEC_SIGNATURE	0.23	ADJUVANT_CHEMO	Enriched APOBEC signature	0.28
ADJUVANT_CHEMO	CANCER TYPE	0.2	ADJUVANT_CHEMO	Cancer type	0.2
ADJUVANT_CHEMO	CD3_TILS_COUNTS	0.04	ADJUVANT_CHEMO	CD3+ cell counts	0.01
ADJUVANT_CHEMO	CD3_TILS_STATUS	0.04	ADJUVANT_CHEMO	CD3 tumor-infiltrating lymphocytes (TILS) status.	0.14
